Question,Option_A,Option_B,Option_C,Option_D,Correct_Answer
"What is the primary role of biostatistics in medical research?", "Data collection and analysis","Data interpretation and clinical application","Statistical testing of hypotheses","Designing clinical trials","Option_C"
"Which of the following is NOT a key principle of epidemiology?", "Disease prevention","Disease distribution analysis","Causality assessment","Data collection","Option_D"
"In the context of healthcare quality improvement, what does the acronym PDSA stand for?", "Plan, Do, Study, Act","Plan, Develop, Study, Analyze","Process, Do, Study, Act","Policy, Development, Study, Act","Option_A"
"Which of the following is NOT considered a social determinant of health?", "Income","Education","Genetic predisposition","Housing","Option_C"
"Which of the following is a key focus of palliative care?", "Curing diseases","End-of-life care and symptom management","Surgical interventions","Preventive care","Option_B"
"What is the main benefit of genomic medicine?", "General treatment plans for all patients","Personalized treatment based on genetic information","Treatment based on physical examination only","Eliminating the need for medical history","Option_B"
"What is the main ethical consideration when conducting biomedical research?", "Maximizing profits for research institutions","Informed consent from participants","Ensuring participants are unaware of the study's goals","Minimizing the costs of conducting the research","Option_B"
"Which of the following conditions is commonly managed using sports medicine?", "Asthma","Fractures and sports injuries","Cancer treatment","Cardiovascular disease","Option_B"
"Which of the following statements is true about clinical pharmacology?", "It studies only drug toxicity","It focuses on the effects and uses of drugs in the human body","It is primarily concerned with pharmaceutical marketing","It is not concerned with drug interactions","Option_B"
"Which area of medicine focuses on mental health conditions in the context of somatic diseases?", "Psychiatry","Psychosomatic medicine","Neurology","Endocrinology","Option_B"
Question,Option_A,Option_B,Option_C,Option_D,Correct_Answer
"Which of the following is the most appropriate first step in the management of a patient presenting with acute chest pain and suspected myocardial infarction?", "Administer aspirin immediately","Start intravenous fluids","Perform a CT scan of the chest","Administer oxygen and perform an ECG","Option_D"
"A 70-year-old male with a history of hypertension and diabetes presents with sudden-onset weakness in the right arm and difficulty speaking. What is the most likely diagnosis?", "Transient ischemic attack","Acute myocardial infarction","Stroke","Hypoglycemia","Option_C"
"In a patient with sepsis, which of the following would be the most appropriate initial management?", "Administer broad-spectrum antibiotics","Perform a CT scan to identify the source","Start low-dose corticosteroids","Give intravenous fluids and wait for culture results","Option_A"
"A patient with uncontrolled type 2 diabetes presents with weight loss, polyuria, and fatigue. Blood tests show elevated glucose levels. What is the most likely complication of long-term uncontrolled diabetes in this patient?", "Diabetic ketoacidosis","Hyperosmolar hyperglycemic state","Hypoglycemia","Diabetic retinopathy","Option_B"
"A 35-year-old woman presents with progressive joint pain, morning stiffness, and fatigue. She has a family history of rheumatoid arthritis. What is the most likely diagnosis?", "Osteoarthritis","Rheumatoid arthritis","Systemic lupus erythematosus","Gout","Option_B"
"A 45-year-old male presents with a swollen, painful left knee after a weekend of intense physical activity. On examination, there is localized warmth, swelling, and decreased range of motion. What is the most likely diagnosis?", "Osteoarthritis","Gout attack","Knee ligament injury","Bursitis","Option_B"
"A 50-year-old woman with a history of smoking presents with a chronic cough, wheezing, and shortness of breath. On chest X-ray, hyperinflation and a flattened diaphragm are noted. What is the most likely diagnosis?", "Asthma","Chronic obstructive pulmonary disease (COPD)","Lung cancer","Pneumonia","Option_B"
"A 60-year-old man presents with difficulty swallowing, unexplained weight loss, and a history of smoking. On examination, there is an enlarged, hard, fixed mass in the upper abdomen. What is the most likely diagnosis?", "Peptic ulcer disease","Esophageal cancer","Gastritis","Pancreatic cancer","Option_B"
"A 28-year-old woman presents with fatigue, abdominal pain, and a rash on her cheeks and across her nose. She reports photosensitivity. What is the most likely diagnosis?", "Rheumatic fever","Systemic lupus erythematosus","Chronic fatigue syndrome","Polymyositis","Option_B"
"A 55-year-old man presents with a headache, blurred vision, and nausea. On examination, his blood pressure is 200/120 mmHg. What is the most likely cause of his symptoms?", "Hypertensive emergency","Migraine","Cluster headache","Glaucoma","Option_A"
