Text,Question,Option A,Option B,Option C,Option D,Answer
"Psychiatry is the branch of medicine focused on diagnosing, treating, and preventing mental health disorders, including conditions like depression, anxiety, and schizophrenia.","What is psychiatry focused on?","Diagnosing, treating, and preventing mental health disorders","Treating physical health disorders","Diagnosing and treating infections","Surgical treatment of mental health disorders","Diagnosing, treating, and preventing mental health disorders"
"Mental health disorders can affect mood, behavior, and cognitive functioning, often impacting a person's ability to function in daily life.","What can mental health disorders affect?","Mood, behavior, and cognitive functioning","Physical appearance","Height and weight","Vision and hearing","Mood, behavior, and cognitive functioning"
"Psychiatrists use a combination of clinical interviews, psychological testing, and medical history to diagnose mental health conditions.","What do psychiatrists use to diagnose mental health conditions?","Clinical interviews, psychological testing, and medical history","MRI scans and blood tests","CT scans and physical exams","Psychological testing only","Clinical interviews, psychological testing, and medical history"
"Common psychiatric disorders include depression, bipolar disorder, schizophrenia, anxiety disorders, and eating disorders.","Which of the following is a common psychiatric disorder?","Depression","Diabetes","Asthma","Arthritis","Depression"
"Psychiatrists may prescribe medications, such as antidepressants, antipsychotics, or mood stabilizers, to manage symptoms of mental health disorders.","What types of medications may psychiatrists prescribe?","Antidepressants, antipsychotics, or mood stabilizers","Antibiotics and painkillers","Insulin and blood pressure medications","Vaccines","Antidepressants, antipsychotics, or mood stabilizers"
"In addition to medication, psychotherapies such as cognitive behavioral therapy (CBT) and psychoanalysis are commonly used to treat psychiatric conditions.","What psychotherapies are commonly used to treat psychiatric conditions?","Cognitive behavioral therapy (CBT) and psychoanalysis","Yoga and meditation","Group fitness classes","Art therapy","Cognitive behavioral therapy (CBT) and psychoanalysis"
"Schizophrenia is a severe psychiatric disorder characterized by delusions, hallucinations, and disorganized thinking, and typically requires long-term treatment with medication and therapy.","Which disorder requires long-term treatment with medication and therapy?","Schizophrenia","Insomnia","Panic disorder","Migraine","Schizophrenia"
"Anxiety disorders, including generalized anxiety disorder and panic disorder, can be treated with medications and therapy to reduce symptoms and improve quality of life.","How can anxiety disorders be treated?","With medications and therapy","Only with lifestyle changes","With exercise and diet","With surgery","With medications and therapy"
"Psychiatric care involves an ongoing, individualized approach, with treatment plans tailored to the specific needs of each patient.","What does psychiatric care involve?","An ongoing, individualized approach","A one-size-fits-all treatment plan","Generalized therapy techniques","Medication only","An ongoing, individualized approach"
"Depression is one of the most common mental health disorders, often treated with a combination of antidepressant medication and psychotherapy.","How is depression commonly treated?","With antidepressants and psychotherapy","With surgery","With dietary supplements","With painkillers","With antidepressants and psychotherapy"
"Psychiatric assessments focus on identifying the underlying causes of mental health symptoms, which may include genetics, environment, and life experiences.","What do psychiatric assessments focus on?","Identifying the underlying causes of mental health symptoms","Identifying physical health issues","Evaluating IQ levels","Assessing physical strength","Identifying the underlying causes of mental health symptoms"
"In contrast to psychology, psychiatry is a medical field that also involves the use of medication in treating mental health conditions.","How does psychiatry differ from psychology?","Psychiatry involves medication in treatment","Psychiatry focuses only on talking therapies","Psychiatry is less focused on mental health","Psychiatry deals with only physical health","Psychiatry involves medication in treatment"
