Text,Question,Option A,Option B,Option C,Option D,Answer
"The human reproductive system consists of distinct male and female organs, each responsible for producing offspring.","What is the primary function of the human reproductive system?","Producing offspring","Regulating hormones","Facilitating digestion","Providing energy","Producing offspring"
"In males, the primary reproductive organs include the testes, which produce sperm, and the penis, which delivers sperm during intercourse.","What is the function of the penis in males?","Delivers sperm during intercourse","Produces sperm","Stores sperm","Produces testosterone","Delivers sperm during intercourse"
"In females, the primary reproductive organs include the ovaries, which produce eggs, and the uterus, where fertilized eggs implant and grow.","Where do fertilized eggs implant and grow in females?","Uterus","Ovaries","Fallopian tubes","Cervix","Uterus"
"The male reproductive system also includes the epididymis, vas deferens, and prostate gland, which assist in sperm maturation and transport.","What is the role of the epididymis in males?","Assist in sperm maturation and transport","Store sperm","Produce testosterone","Regulate hormones","Assist in sperm maturation and transport"
"The female reproductive system includes the fallopian tubes, where fertilization usually occurs, and the cervix, which connects the uterus to the vagina.","Where does fertilization usually occur in females?","Fallopian tubes","Uterus","Vagina","Cervix","Fallopian tubes"
"Sperm and egg cells are haploid, meaning they carry only half the number of chromosomes, combining to form a diploid zygote upon fertilization.","What does it mean for sperm and egg cells to be haploid?","They carry half the number of chromosomes","They carry twice the number of chromosomes","They are not involved in fertilization","They do not have chromosomes","They carry half the number of chromosomes"
"Male and female reproductive systems are regulated by hormones such as testosterone in males and estrogen and progesterone in females.","Which hormones regulate the male and female reproductive systems?","Testosterone, estrogen, and progesterone","Insulin and growth hormone","Cortisol and adrenaline","Estrogen and serotonin","Testosterone, estrogen, and progesterone"
"During puberty, both males and females experience hormonal changes that result in the development of secondary sexual characteristics.","What occurs during puberty?","Hormonal changes leading to the development of secondary sexual characteristics","Development of reproductive organs","Increased height growth","Changes in the immune system","Hormonal changes leading to the development of secondary sexual characteristics"
"The menstrual cycle in females involves the monthly maturation of eggs and preparation of the uterus for possible pregnancy.","What does the menstrual cycle prepare the uterus for?","Possible pregnancy","Ovulation","Menstruation","Fertilization","Possible pregnancy"
"The testicles in males produce both sperm and testosterone, which is responsible for the development of male secondary sex characteristics.","What do the testicles produce in males?","Sperm and testosterone","Estrogen and progesterone","Testosterone and sperm","Eggs and estrogen","Sperm and testosterone"
"Sperm are produced in the seminiferous tubules of the testes and stored in the epididymis until ejaculation.","Where are sperm stored in males?","Epididymis","Vas deferens","Penis","Seminiferous tubules","Epididymis"
"Female reproductive anatomy includes external structures such as the vulva, which consists of the labia, clitoris, and vaginal opening.","Which external structure is part of the female reproductive anatomy?","Vulva","Testicles","Penis","Uterus","Vulva"
"Fertilization occurs when a sperm cell merges with an egg cell in the fallopian tube, forming a zygote that will develop into an embryo.","Where does fertilization usually occur?","Fallopian tube","Uterus","Vagina","Cervix","Fallopian tube"
